productName,price,link,image
Basil Essential Oil,$3.00,https://www.spaorder.com/fleur-basil-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/basil.jpg
Bergamot Essential Oil,$6.75,https://www.spaorder.com/fleur-bergamot-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/bergamot.jpg
Chamomile Roman Essential Oil ,$6.50,https://www.spaorder.com/fleur-chamomile-roman-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526104/Essential%20Oil/chamomile.jpg
Eucalyptus Essential Oil,$2.50,https://www.spaorder.com/fleur-eucalyptus-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/eucalyptus.jpg
Fleur Frankinscence Essential Oil,$7.00,https://www.spaorder.com/fleur-frankinscense-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/frankincense.jpg
Geranium Essential Oil,$5.00,https://www.spaorder.com/fleur-geranium-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/geranium.jpg
Grapefruit Essential Oil,$3.50,https://www.spaorder.com/fleur-grapefruit-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/grapefruit.jpg
Jasmine Sambac Essential Oil,$8.00,https://www.spaorder.com/fleur-jasmine-sambac-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/jasmine.jpg
Lavender Essential Oil Extra,$5.00,https://www.spaorder.com/fleur-lavender-essential-oil-extra/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/lavender_extra.jpg
Lavender Essential Oil Hybrid,$2.50,https://www.spaorder.com/fleur-lavender-essential-oil-hybrid/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/lavender_hybrid.jpg
Lemon Essential Oil,$3.85,https://www.spaorder.com/fleur-lemon-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/lemon.jpg
Lemongrass Essential Oil,$2.50,https://www.spaorder.com/fleur-lemongrass-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526105/Essential%20Oil/lemongrass.jpg
Lime Essential Oil,$3.80,https://www.spaorder.com/fleur-lime-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/lime.jpg
Mandarin Essential Oil,$2.75,https://www.spaorder.com/fleur-mandarin-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/mandarin.jpg
Orange Essential Oil,$2.50,https://www.spaorder.com/fleur-orange-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/orange.jpg
Patchouli Essential Oil,$6.50,https://www.spaorder.com/fleur-patchouli-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/patchouli.jpg
Peppermint Essential Oil,$3.00,https://www.spaorder.com/fleur-peppermint-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526107/Essential%20Oil/peppermint.jpg
Rose Essential Oil,$6.00,https://www.spaorder.com/fleur-rose-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/rose.jpg
Rosemary Essential Oil,$3.90,https://www.spaorder.com/fleur-rosemary-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526106/Essential%20Oil/rosemary.jpg
Rosewood Essential Oil,$6.00,https://www.spaorder.com/fleur-rosewood-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526107/Essential%20Oil/rosewood.jpg
Sandalwood Essential Oil,$19.00,https://www.spaorder.com/fleur-sandalwood-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526107/Essential%20Oil/sandalwood.jpg
Tea Tree Essential Oil,$3.50,https://www.spaorder.com/fleur-tea-tree-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526107/Essential%20Oil/tea_tree.jpg
Ylang-Ylang Essential Oil,$6.00,https://www.spaorder.com/fleur-ylang-ylang-essential-oil/,http://res.cloudinary.com/fleuroils/image/upload/v1474526107/Essential%20Oil/ylang_ylang.jpg
Aromatherapist Master Kit by Spa Contour,$34.95,https://www.spaorder.com/aromatherapist-master-kit-by-spa-contour/,http://res.cloudinary.com/fleuroils/image/upload/v1474526111/Essential%20Oil/Aromatherapist_Master.jpg
Aromatherapist Starter Kit by Spa Contour,$13.95,https://www.spaorder.com/aromatherapist-starter-kit-by-spa-contour/,http://res.cloudinary.com/fleuroils/image/upload/v1474526111/Essential%20Oil/1_Gal.jpg
